Risk ID,Risk Description,Related Controls,Likelihood (1-5),Impact (1-5),Risk Score,Risk Rating,Existing Controls,Recommended Treatment,Owner,Target Date
R-01,Unauthorized production access due to standing admin/root privileges held by multiple engineers,"8.2, 5.18",4,5,20,Critical,None — access is permanent and unreviewed,"Implement least-privilege IAM roles with time-boxed elevation (e.g. AWS IAM Identity Center session-based admin); conduct quarterly access review",CTO,30 days
R-02,Customer PII exposure via unmasked production data used in staging environment,"8.11, 8.33",4,5,20,Critical,Staging environment access is limited to engineering staff only,"Implement data masking/synthetic data generation for all non-production environments before next data refresh",Engineering Lead,45 days
R-03,Undetected security incident due to absence of centralized log monitoring/SIEM,"8.16, 5.24",4,4,16,High,"Application logs exist in CloudWatch but are not actively reviewed","Stand up a lightweight SIEM (e.g. Microsoft Sentinel or an open-source ELK stack) ingesting auth, admin-action, and infrastructure logs, with basic alerting rules",CTO,60 days
R-04,Prolonged unauthorized access following employee offboarding due to inconsistent de-provisioning,"6.5, 5.18",3,4,12,High,Manual access revocation checklist exists but is not consistently followed,"Build an offboarding automation script or SSO-centric de-provisioning process covering all connected SaaS tools",IT/People Ops,45 days
R-05,Vulnerable dependencies or misconfigurations shipped to production due to no security testing in CI/CD,"8.25, 8.28, 8.29",4,4,16,High,Dependabot alerts for known-vulnerable packages,"Introduce SAST scanning and a lightweight DAST scan (see this repo's HawkScan-oriented workflow) as a required CI gate before production deploys",Engineering Lead,60 days
R-06,Regulatory non-compliance under India's DPDP Act due to no formal compliance mapping,"5.31, 5.34",3,5,15,High,General awareness of DPDP obligations among leadership,"Commission a DPDP-specific gap assessment and appoint a designated data protection point of contact",Compliance/Legal,90 days
R-07,Business disruption from unrecoverable data loss due to untested disaster-recovery process,"5.30, 8.14",2,5,10,High,Automated daily backups with 30-day retention,"Document and test a formal disaster-recovery runbook, including a scheduled annual restore test",CTO,90 days
R-08,Credential compromise due to inconsistent MFA enforcement across tools,"5.17, 8.5",4,4,16,High,MFA is available but optional on most tools,"Mandate MFA org-wide via Google Workspace admin policy and SSO enforcement on all connected applications",IT Admin,30 days
R-09,Successful phishing attack against staff due to no security awareness training,"6.3, 6.8",4,3,12,Medium,None,"Roll out a baseline security-awareness training module and a simple internal reporting channel for suspicious emails",People Ops,60 days
R-10,Undetected supplier-side data breach due to no vendor security due-diligence process,"5.19, 5.20",2,4,8,Medium,Vendors are selected based on functional fit only,"Introduce a basic vendor security questionnaire for any supplier handling customer data",Procurement/CTO,90 days
R-11,Inability to reconstruct an incident timeline due to inconsistent authentication/admin-action logging,"8.15, 5.28",3,3,9,Medium,Partial application-level logging exists,"Extend logging coverage to authentication events and administrative actions across all production systems",Engineering Lead,60 days
R-12,Segregation-of-duties failure allowing a single engineer to introduce and deploy malicious or flawed code unreviewed,"5.3, 8.32",3,4,12,High,Pull requests are used but approval is not strictly enforced,"Enforce mandatory second-reviewer approval and branch protection rules on the production deployment branch",Engineering Lead,30 days
