Control ID,Control Name,Theme,Status,Evidence / Notes,Priority
5.1,Policies for information security,Organizational,Partial,"An internal wiki page covers acceptable use, but there is no board-approved, versioned Information Security Policy document.",High
5.2,Information security roles and responsibilities,Organizational,Partial,"CTO is de facto security owner; no formal RACI or documented role assignments exist.",High
5.3,Segregation of duties,Organizational,Not Implemented,"Same engineer can both write and deploy production code with no independent approval gate.",High
5.4,Management responsibilities,Organizational,Partial,"Leadership verbally supports security but has not signed off on any security objectives or budget.",Medium
5.5,Contact with authorities,Organizational,Not Implemented,"No documented point of contact list for law enforcement, CERT-In, or the relevant data protection authority.",Medium
5.6,Contact with special interest groups,Organizational,Not Implemented,"No membership in ISACs, vendor security mailing lists, or industry threat-sharing groups.",Low
5.7,Threat intelligence,Organizational,Not Implemented,"No structured threat intel feed consumption; awareness is ad hoc via news and Twitter/X.",Medium
5.8,Information security in project management,Organizational,Not Implemented,"New product features ship without a security review step in the project lifecycle.",High
5.9,Inventory of information and other associated assets,Organizational,Partial,"Cloud assets are listed in the AWS console but no consolidated asset register exists.",High
5.10,Acceptable use of information and other associated assets,Organizational,Implemented,"AUP exists (see policies/Acceptable-Use-Policy.md) and is signed at onboarding.",Low
5.11,Return of assets,Organizational,Partial,"Laptops are collected on exit but no signed checklist confirms full asset return.",Medium
5.12,Classification of information,Organizational,Not Implemented,"No data classification scheme (e.g. Public/Internal/Confidential/Restricted) is defined.",High
5.13,Labelling of information,Organizational,Not Implemented,"Depends on 5.12 being implemented first.",Medium
5.14,Information transfer,Organizational,Partial,"Customer data is transferred via encrypted API calls, but ad hoc email attachments are still used internally.",Medium
5.15,Access control,Organizational,Partial,"Role-based access exists in the core app; internal tooling (admin panels, dashboards) uses shared logins.",High
5.16,Identity management,Organizational,Partial,"Google Workspace SSO covers most SaaS tools; several legacy tools have standalone credentials.",High
5.17,Authentication information,Organizational,Partial,"Password manager is provided but not mandated; MFA is optional rather than enforced org-wide.",High
5.18,Access rights,Organizational,Not Implemented,"No periodic access review/recertification process exists; access is granted on request and rarely revisited.",High
5.19,Information security in supplier relationships,Organizational,Not Implemented,"Vendors (payment processor, cloud host, email provider) were selected without a security due-diligence checklist.",Medium
5.20,Addressing information security within supplier agreements,Organizational,Not Implemented,"Standard vendor contracts do not include security/data-handling clauses.",Medium
5.21,Managing information security in the ICT supply chain,Organizational,Not Implemented,"No process for assessing security of upstream open-source dependencies beyond ad hoc `npm audit`.",Medium
5.22,"Monitoring, review and change management of supplier services",Organizational,Not Implemented,"Vendor security posture is not reassessed after initial onboarding.",Low
5.23,Information security for use of cloud services,Organizational,Partial,"AWS is used with default security groups reviewed occasionally, but no formal cloud security baseline exists.",High
5.24,Information security incident management planning and preparation,Organizational,Not Implemented,"No documented incident response plan; response would currently be improvised.",High
5.25,Assessment and decision on information security events,Organizational,Not Implemented,"No defined severity/triage criteria for security events.",High
5.26,Response to information security incidents,Organizational,Not Implemented,"See playbooks in this repo as a starting point for remediating this gap.",High
5.27,Learning from information security incidents,Organizational,Not Implemented,"No post-incident review process exists, as no incidents have been formally logged.",Medium
5.28,Collection of evidence,Organizational,Not Implemented,"No forensic evidence-handling procedure defined.",Low
5.29,Information security during disruption,Organizational,Not Implemented,"No business continuity plan addresses security controls during an outage or disaster.",Medium
5.30,ICT readiness for business continuity,Organizational,Partial,"Daily automated database backups exist; no documented or tested disaster-recovery runbook.",High
5.31,"Legal, statutory, regulatory and contractual requirements",Organizational,Partial,"Aware of India's DPDP Act obligations in general terms; no formal compliance register maps specific obligations to controls.",High
5.32,Intellectual property rights,Organizational,Partial,"Employment contracts include an IP assignment clause; no process for tracking third-party licence compliance.",Low
